
	SDRs per currency unit for the period  January 01, 1994 - December 31, 2014
	Date	Pakistani rupee(PKR)	
	03-Jan-1994	0.0241557  	
	04-Jan-1994	0.0241777  	
	05-Jan-1994	0.0241211  	
	06-Jan-1994	0.024115  	
	07-Jan-1994	0.0240935  	
	10-Jan-1994	0.0240289  	
	11-Jan-1994	0.0241086  	
	12-Jan-1994	0.0240881  	
	13-Jan-1994	0.0240512  	
	14-Jan-1994	0.0240432  	
	17-Jan-1994	0.0240498  	
	18-Jan-1994	0.024024  	
	19-Jan-1994	0.0239946  	
	20-Jan-1994	0.0240572  	
	21-Jan-1994	0.0239276  	
	24-Jan-1994	0.024086  	
	25-Jan-1994	0.0240297  	
	26-Jan-1994	0.0239693  	
	27-Jan-1994	0.0239189  	
	28-Jan-1994	0.0238511  	
	31-Jan-1994	0.0238756  	
	01-Feb-1994	0.0237957  	
	02-Feb-1994	0.0237498  	
	03-Feb-1994	0.0237886  	
	04-Feb-1994	0.0238262  	
	07-Feb-1994	0.0239259  	
	08-Feb-1994	0.0238906  	
	09-Feb-1994	0.0238687  	
	10-Feb-1994	0.0239023  	
	11-Feb-1994	0.0238534  	
	14-Feb-1994	0.0236448  	
	15-Feb-1994	0.0235096  	
	16-Feb-1994	0.0234711  	
	17-Feb-1994	0.0234803  	
	18-Feb-1994	0.0234882  	
	21-Feb-1994	0.0235972  	
	22-Feb-1994	0.0235744  	
	23-Feb-1994	0.0235321  	
	24-Feb-1994	0.0235521  	
	25-Feb-1994	0.023456  	
	28-Feb-1994	0.0233955  	
	01-Mar-1994	0.0233424  	
	02-Mar-1994	0.0232693  	
	03-Mar-1994	0.0233476  	
	04-Mar-1994	0.023407  	
	07-Mar-1994	0.0234677  	
	08-Mar-1994	0.0234211  	
	09-Mar-1994	0.0233968  	
	10-Mar-1994	0.0233473  	
	11-Mar-1994	0.0232829  	
	14-Mar-1994	0.023329  	
	15-Mar-1994	0.0233964  	
	16-Mar-1994	0.0233985  	
	17-Mar-1994	0.0233554  	
	18-Mar-1994	0.0233741  	
	21-Mar-1994	0.0234179  	
	22-Mar-1994	0.0233541  	
	23-Mar-1994	0.023388  	
	24-Mar-1994	0.0233575  	
	25-Mar-1994	0.0231843  	
	28-Mar-1994	0.0232443  	
	29-Mar-1994	0.0231569  	
	30-Mar-1994	0.0231994  	
	31-Mar-1994	0.0231524  	
	01-Apr-1994	0.0232969  	
	04-Apr-1994	0.0232934  	
	05-Apr-1994	0.0232685  	
	06-Apr-1994	0.0234263  	
	07-Apr-1994	0.0233553  	
	08-Apr-1994	0.0234056  	
	11-Apr-1994	0.0233015  	
	12-Apr-1994	0.0233651  	
	13-Apr-1994	0.0233443  	
	14-Apr-1994	0.0233367  	
	15-Apr-1994	0.0233404  	
	18-Apr-1994	0.023326  	
	19-Apr-1994	0.0232454  	
	20-Apr-1994	0.0232568  	
	21-Apr-1994	0.0231658  	
	22-Apr-1994	0.0232471  	
	25-Apr-1994	0.0231538  	
	26-Apr-1994	0.023171  	
	27-Apr-1994	0.0231049  	
	28-Apr-1994	0.0230742  	
	29-Apr-1994	0.0229717  	
	02-May-1994	0.0229185  	
	03-May-1994	0.0228905  	
	04-May-1994	0.0229075  	
	05-May-1994	0.0230966  	
	06-May-1994	0.0230999  	
	09-May-1994	0.0230114  	
	10-May-1994	0.023081  	
	11-May-1994	0.0231663  	
	12-May-1994	0.0231157  	
	13-May-1994	0.0231643  	
	16-May-1994	0.0231541  	
	17-May-1994	0.0231471  	
	18-May-1994	0.0230631  	
	19-May-1994	0.0229787  	
	20-May-1994	0.023009  	
	23-May-1994	0.0229734  	
	24-May-1994	0.0229927  	
	25-May-1994	0.0230296  	
	26-May-1994	0.0229611  	
	27-May-1994	0.0229974  	
	30-May-1994	0.022967  	
	31-May-1994	0.0229621  	
	01-Jun-1994	0.0229683  	
	02-Jun-1994	0.022985  	
	03-Jun-1994	0.0230764  	
	06-Jun-1994	0.023116  	
	07-Jun-1994	0.0231181  	
	08-Jun-1994	0.0230328  	
	09-Jun-1994	0.0230489  	
	10-Jun-1994	0.0230426  	
	13-Jun-1994	0.0229551  	
	14-Jun-1994	0.0228747  	
	15-Jun-1994	0.0228653  	
	16-Jun-1994	0.0228232  	
	17-Jun-1994	0.0228817  	
	20-Jun-1994	0.0226602  	
	21-Jun-1994	0.0226324  	
	22-Jun-1994	0.0225629  	
	23-Jun-1994	0.0226393  	
	24-Jun-1994	0.0225252  	
	27-Jun-1994	0.0224329  	
	28-Jun-1994	0.0224994  	
	29-Jun-1994	0.0224355  	
	30-Jun-1994	0.0224995  	
	01-Jul-1994	0.0225571  	
	04-Jul-1994	0.0225108  	
	05-Jul-1994	0.0224527  	
	06-Jul-1994	0.0223893  	
	07-Jul-1994	0.0224441  	
	08-Jul-1994	0.0224064  	
	11-Jul-1994	0.0222386  	
	12-Jul-1994	0.0221143  	
	13-Jul-1994	0.0221406  	
	14-Jul-1994	0.0222428  	
	15-Jul-1994	0.0222858  	
	18-Jul-1994	0.0222313  	
	19-Jul-1994	0.0222643  	
	20-Jul-1994	0.0224499  	
	21-Jul-1994	0.0223243  	
	22-Jul-1994	0.0225183  	
	25-Jul-1994	0.0224811  	
	26-Jul-1994	0.0224909  	
	27-Jul-1994	0.0224083  	
	28-Jul-1994	0.0223976  	
	29-Jul-1994	0.0225938  	
	01-Aug-1994	0.022381  	
	02-Aug-1994	0.0224669  	
	03-Aug-1994	0.0225595  	
	04-Aug-1994	0.0224629  	
	05-Aug-1994	0.0225714  	
	08-Aug-1994	0.0225519  	
	09-Aug-1994	0.0225914  	
	10-Aug-1994	0.0225476  	
	11-Aug-1994	0.0225608  	
	12-Aug-1994	0.0223724  	
	15-Aug-1994	0.0223941  	
	16-Aug-1994	0.0224345  	
	17-Aug-1994	0.0224438  	
	18-Aug-1994	0.0223578  	
	19-Aug-1994	0.0222188  	
	22-Aug-1994	0.0221927  	
	23-Aug-1994	0.0222006  	
	24-Aug-1994	0.0222476  	
	25-Aug-1994	0.0223267  	
	26-Aug-1994	0.0222915  	
	29-Aug-1994	0.0224975  	
	30-Aug-1994	0.0224949  	
	31-Aug-1994	0.0224804  	
	01-Sep-1994	0.0224585  	
	02-Sep-1994	0.0224194  	
	05-Sep-1994	0.0222992  	
	06-Sep-1994	0.0222385  	
	07-Sep-1994	0.0222278  	
	08-Sep-1994	0.0222868  	
	09-Sep-1994	0.0223395  	
	12-Sep-1994	0.0221955  	
	13-Sep-1994	0.022207  	
	14-Sep-1994	0.0221594  	
	15-Sep-1994	0.0222295  	
	16-Sep-1994	0.0222401  	
	19-Sep-1994	0.0221798  	
	20-Sep-1994	0.0222188  	
	21-Sep-1994	0.0221679  	
	22-Sep-1994	0.0221651  	
	23-Sep-1994	0.0221547  	
	26-Sep-1994	0.0222015  	
	27-Sep-1994	0.0221971  	
	28-Sep-1994	0.0221818  	
	29-Sep-1994	0.0221963  	
	30-Sep-1994	0.022179  	
	03-Oct-1994	0.0222944  	
	04-Oct-1994	0.0222462  	
	05-Oct-1994	0.022223  	
	06-Oct-1994	0.0222199  	
	07-Oct-1994	0.0222119  	
	10-Oct-1994	0.0222955  	
	11-Oct-1994	0.0222638  	
	12-Oct-1994	0.0222233  	
	13-Oct-1994	0.0222132  	
	14-Oct-1994	0.0220833  	
	17-Oct-1994	0.0219293  	
	18-Oct-1994	0.0219262  	
	19-Oct-1994	0.021879  	
	20-Oct-1994	0.0218881  	
	21-Oct-1994	0.0217915  	
	24-Oct-1994	0.02186  	
	25-Oct-1994	0.0217627  	
	26-Oct-1994	0.0218302  	
	27-Oct-1994	0.0217955  	
	28-Oct-1994	0.0218214  	
	31-Oct-1994	0.0219226  	
	01-Nov-1994	0.0218182  	
	02-Nov-1994	0.0217976  	
	03-Nov-1994	0.021958  	
	04-Nov-1994	0.0220246  	
	07-Nov-1994	0.0219396  	
	08-Nov-1994	0.0219238  	
	09-Nov-1994	0.0220596  	
	10-Nov-1994	0.022029  	
	11-Nov-1994	0.0220456  	
	14-Nov-1994	0.0221545  	
	15-Nov-1994	0.0221442  	
	16-Nov-1994	0.0222366  	
	17-Nov-1994	0.0221891  	
	18-Nov-1994	0.0222381  	
	21-Nov-1994	0.0222671  	
	22-Nov-1994	0.0221823  	
	23-Nov-1994	0.0221429  	
	24-Nov-1994	0.0222279  	
	25-Nov-1994	0.022226  	
	28-Nov-1994	0.0222663  	
	29-Nov-1994	0.0222509  	
	30-Nov-1994	0.0223046  	
	01-Dec-1994	0.0222908  	
	02-Dec-1994	0.0223637  	
	05-Dec-1994	0.0224049  	
	06-Dec-1994	0.0223049  	
	07-Dec-1994	0.0222992  	
	08-Dec-1994	0.0223494  	
	09-Dec-1994	0.0223595  	
	12-Dec-1994	0.0223463  	
	13-Dec-1994	0.0223492  	
	14-Dec-1994	0.0223428  	
	15-Dec-1994	0.0223441  	
	16-Dec-1994	0.022333  	
	19-Dec-1994	0.0223584  	
	20-Dec-1994	0.0223432  	
	21-Dec-1994	0.0223332  	
	22-Dec-1994	0.0223852  	
	23-Dec-1994	0.022371  	
	27-Dec-1994	0.0223904  	
	28-Dec-1994	0.0223514  	
	29-Dec-1994	0.0222467  	
	30-Dec-1994	0.0221849  	
	03-Jan-1995	0.0222482  	
	04-Jan-1995	0.0223058  	
	05-Jan-1995	0.0222789  	
	06-Jan-1995	0.0222516  	
	09-Jan-1995	0.0222936  	
	10-Jan-1995	0.0221248  	
	11-Jan-1995	0.0220983  	
	12-Jan-1995	0.022098  	
	13-Jan-1995	0.0220009  	
	16-Jan-1995	0.0220316  	
	17-Jan-1995	0.0220101  	
	18-Jan-1995	0.0220036  	
	19-Jan-1995	0.0220796  	
	20-Jan-1995	0.0219483  	
	23-Jan-1995	0.0219877  	
	24-Jan-1995	0.0219227  	
	25-Jan-1995	0.0219078  	
	26-Jan-1995	0.021952  	
	27-Jan-1995	0.0219514  	
	30-Jan-1995	0.0219267  	
	31-Jan-1995	0.021889  	
	01-Feb-1995	0.0220133  	
	02-Feb-1995	0.021998  	
	03-Feb-1995	0.021995  	
	06-Feb-1995	0.0220553  	
	07-Feb-1995	0.0220663  	
	08-Feb-1995	0.0220402  	
	09-Feb-1995	0.0220165  	
	10-Feb-1995	0.0220104  	
	13-Feb-1995	0.0219374  	
	14-Feb-1995	0.0219646  	
	15-Feb-1995	0.0218878  	
	16-Feb-1995	0.0217972  	
	17-Feb-1995	0.0217078  	
	20-Feb-1995	0.0216529  	
	21-Feb-1995	0.0216552  	
	22-Feb-1995	0.0216725  	
	23-Feb-1995	0.0216346  	
	24-Feb-1995	0.0216222  	
	27-Feb-1995	0.0215812  	
	28-Feb-1995	0.0216159  	
	01-Mar-1995	0.0216177  	
	02-Mar-1995	0.0215882  	
	03-Mar-1995	0.0214413  	
	06-Mar-1995	0.0210724  	
	07-Mar-1995	0.021042  	
	08-Mar-1995	0.0208119  	
	09-Mar-1995	0.0210087  	
	10-Mar-1995	0.0211281  	
	13-Mar-1995	0.0210557  	
	14-Mar-1995	0.0211129  	
	15-Mar-1995	0.0210646  	
	16-Mar-1995	0.0209524  	
	17-Mar-1995	0.0209527  	
	20-Mar-1995	0.0209972  	
	21-Mar-1995	0.0209247  	
	22-Mar-1995	0.0209882  	
	23-Mar-1995	0.0208964  	
	24-Mar-1995	0.0209138  	
	27-Mar-1995	0.0210055  	
	28-Mar-1995	0.0209209  	
	29-Mar-1995	0.0207624  	
	30-Mar-1995	0.0207514  	
	31-Mar-1995	0.0207002  	
	03-Apr-1995	0.0206217  	
	04-Apr-1995	0.0206292  	
	05-Apr-1995	0.0205714  	
	06-Apr-1995	0.0205568  	
	07-Apr-1995	0.0204911  	
	10-Apr-1995	0.0205353  	
	11-Apr-1995	0.0206625  	
	12-Apr-1995	0.0206305  	
	13-Apr-1995	0.0205708  	
	14-Apr-1995	0.0205215  	
	17-Apr-1995	0.0203324  	
	18-Apr-1995	0.0202725  	
	19-Apr-1995	0.0202785  	
	20-Apr-1995	0.0204268  	
	21-Apr-1995	0.0205354  	
	24-Apr-1995	0.0204244  	
	25-Apr-1995	0.0203935  	
	26-Apr-1995	0.0205122  	
	27-Apr-1995	0.0204639  	
	28-Apr-1995	0.0205486  	
	01-May-1995	0.0205808  	
	02-May-1995	0.020501  	
	03-May-1995	0.0204878  	
	04-May-1995	0.0205157  	
	05-May-1995	0.020528  	
	08-May-1995	0.0204158  	
	09-May-1995	0.0204743  	
	10-May-1995	0.0205  	
	11-May-1995	0.020747  	
	12-May-1995	0.0210195  	
	15-May-1995	0.0210193  	
	16-May-1995	0.0210539  	
	17-May-1995	0.020943  	
	18-May-1995	0.0210205  	
	19-May-1995	0.0209985  	
	22-May-1995	0.0210417  	
	23-May-1995	0.0209672  	
